Year	Month	Monthly_MSL
1964	2	7.086
1964	3	7.105
1964	4	7.045
1964	5	7.046
1964	6	7.072
1964	7	6.995
1964	8	7.011
1964	9	7.047
1964	10	6.996
1964	11	6.951
1964	12	6.976
1965	1	7.015
1965	2	6.9
1965	3	7.044
1965	4	6.963
1965	5	7.022
1965	6	7.029
1965	7	7.044
1965	8	7.002
1965	9	7.065
1965	10	7.075
1965	11	7.128
1965	12	7.074
1966	1	7.146
1966	2	7.321
1966	3	6.944
1966	4	7.179
1966	5	7.025
1966	6	7.123
1966	7	7.044
1966	8	7.087
1966	9	7.078
1966	10	7.16
1966	11	6.97
1966	12	6.974
1967	1	6.984
1967	2	7.095
1967	3	6.999
1967	4	6.987
1967	5	7.162
1967	6	7.011
1967	7	7.026
1967	8	7.069
1967	9	7.077
1967	10	7.084
1967	11	7.034
1967	12	6.922
1968	1	6.951
1968	2	7.12
1968	3	6.992
1968	4	7.109
1968	5	7.043
1968	6	7.056
1968	7	7.029
1968	8	7.054
1968	9	7.129
1968	10	7.082
1968	11	7.198
1968	12	7.168
1969	1	7.185
1969	2	7.123
1969	3	7.133
1969	4	7.017
1969	5	7.125
1969	6	7.111
1969	7	6.999
1969	8	7.048
1969	9	7.053
1969	10	7.039
1969	11	7.11
1969	12	6.99
1970	1	7.237
1970	2	7.047
1970	3	6.98
1970	4	7.024
1970	5	7.007
1970	6	7.081
1970	7	7.02
1970	8	7.048
1970	9	7.038
1970	10	6.95
1970	11	7.086
1970	12	6.968
1971	1	7.191
1971	2	6.973
1971	3	6.996
1971	4	7.081
1971	5	7.086
1971	6	7.081
1971	7	7.05
1971	8	7.078
1971	9	6.992
1971	10	6.981
1971	11	6.927
1971	12	6.932
1972	1	7.079
1972	2	7.147
1972	3	7.083
1972	4	7.027
1972	5	7.042
1972	6	7.057
1972	7	7.007
1972	8	6.991
1972	9	6.996
1972	10	7.043
1972	11	6.985
1972	12	7.12
1973	1	7.008
1973	2	6.962
1973	3	6.92
1973	4	6.96
1973	5	7.09
1973	6	6.979
1973	7	7.069
1973	8	7.01
1973	9	7.064
1973	10	6.994
1973	11	6.955
1973	12	7.006
1974	1	7.155
1974	2	7.088
1974	3	7.007
1974	4	7.033
1974	5	7.057
1974	6	7.058
1974	7	7.02
1974	8	7.035
1974	9	7.081
1974	10	6.911
1974	11	7.027
1974	12	6.954
1975	1	7.076
1975	2	7.06
1975	3	7.057
1975	4	6.986
1975	5	6.99
1975	6	7.023
1975	7	7.065
1975	8	7.035
1975	9	7.061
1975	10	7.003
1975	11	6.982
1975	12	6.896
1976	1	6.943
1976	2	7.012
1976	3	6.981
1976	4	6.947
1976	5	6.979
1976	6	6.98
1976	7	7.02
1976	8	7.019
1976	9	7.067
1976	10	7.194
1976	11	6.995
1976	12	7.122
1977	1	7.091
1977	2	7.234
1977	3	7.103
1977	4	6.999
1977	5	7.017
1977	6	7.036
1977	7	7.035
1977	8	7.066
1977	9	6.987
1977	10	7.105
1977	11	7.003
1977	12	7.12
1978	1	7
1978	2	7.162
1978	3	7.077
1978	4	7.068
1978	5	7.02
1978	6	7.061
1978	7	7.012
1978	8	7.015
1978	9	6.976
1978	10	6.932
1978	11	6.965
1978	12	7.292
1979	1	7.135
1979	2	7.167
1979	3	7.091
1979	4	7.076
1979	5	7.04
1979	6	7.022
1979	7	7.008
1979	8	7.057
1979	9	7.006
1979	10	7.132
1979	11	6.972
1979	12	7.06
1980	1	7.07
1980	2	7.064
1980	3	7.083
1980	4	7.006
1980	5	7.071
1980	6	7.101
1980	7	7.1
1980	8	7.076
1980	9	7.046
1980	10	7.075
1980	11	7.039
1980	12	6.922
1981	1	6.862
1981	2	7.012
1981	3	7.181
1981	4	7.009
1981	5	7.163
1981	6	7.048
1981	7	7.01
1981	8	7.024
1981	9	7.136
1981	10	7.076
1981	11	6.991
1981	12	7.248
1982	1	7.123
1982	2	7.147
1982	3	7.01
1982	4	7.031
1982	5	7.04
1982	6	7.126
1982	7	7.075
1982	8	7.055
1982	9	7.104
1982	10	7.131
1982	11	7.12
1982	12	7.074
1983	1	7.006
1983	2	7.05
1983	3	7.042
1983	4	7.204
1983	5	7.223
1983	6	7.047
1983	7	7.094
1983	8	7.051
1983	9	7.078
1983	10	7.021
1983	11	7.125
1983	12	7.16
1984	1	7.074
1984	2	6.981
1984	3	7.067
1984	4	7.091
1984	5	7.106
1984	6	7.052
1984	7	7.058
1984	8	7.064
1984	9	7.072
1984	10	7.084
1984	11	7.209
1984	12	7.07
1985	1	7.117
1985	2	7.125
1985	3	7.077
1985	4	7.017
1985	5	7.103
1985	6	7.094
1985	7	7.074
1985	8	7.099
1985	9	7.013
1985	10	7.002
1985	11	7.059
1985	12	7.132
1986	1	7.061
1986	2	7.098
1986	3	7.043
1986	4	7.084
1986	5	7.085
1986	6	7.035
1986	7	7.077
1986	8	7.07
1986	9	7.011
1986	10	7.02
1986	11	6.999
1986	12	7.034
1987	1	6.99
1987	2	7.076
1987	3	7.049
1987	4	7.13
1987	5	7.013
1987	6	7.082
1987	7	7.085
1987	8	7.08
1987	9	7.12
1987	10	7.193
1987	11	7.045
1987	12	7.172
1988	1	7.208
1988	2	7.063
1988	3	7.034
1988	4	7.107
1988	5	7.145
1988	6	7.101
1988	7	7.128
1988	8	7.09
1988	9	7.045
1988	10	7.124
1988	11	7.094
1988	12	6.98
1989	1	7.017
1989	2	7.102
1989	3	7.104
1989	4	7.12
1989	5	7.065
1989	6	7.078
1989	7	7.044
1989	8	7.086
1989	9	7.051
1989	10	7.066
1989	11	7.176
1989	12	7.3
1990	1	7.137
1990	2	7.222
1990	3	6.982
1990	4	7.036
1990	5	7.066
1990	6	7.103
1990	7	7.079
1990	8	7.062
1990	9	7.041
1990	10	7.16
1990	11	7.071
1990	12	6.996
1991	1	7.039
1991	2	7.031
1991	3	7.105
1991	4	7.045
1991	5	6.92
1991	6	7.102
1991	7	7.092
1991	8	7.03
1991	9	7.105
1991	10	7.069
1991	11	7.042
1991	12	6.958
1992	1	6.951
1992	2	6.976
1992	3	6.962
