Year	Month	Monthly_MSL
1903	6	6.884
1903	7	6.989
1903	8	7.033
1903	9	6.952
1903	10	7.061
1903	11	6.966
1903	12	6.927
1904	1	6.973
1904	2	7.006
1904	3	6.915
1904	4	7.037
1904	5	6.972
1904	6	6.957
1904	7	6.958
1904	8	6.96
1904	9	6.888
1904	10	6.917
1904	11	6.906
1904	12	6.957
1905	1	6.97
1905	2	7
1905	3	6.931
1905	4	7.049
1905	5	7.023
1905	6	6.975
1905	7	6.958
1905	8	6.978
1905	9	6.952
1905	10	6.869
1905	11	6.933
1905	12	6.933
1906	1	6.955
1906	2	6.966
1906	3	6.967
1906	4	6.979
1906	5	6.908
1906	6	6.945
1906	7	6.961
1906	8	6.963
1906	9	6.861
1906	10	6.985
1906	11	6.985
1906	12	6.906
1907	1	6.848
1907	2	6.923
1907	3	6.897
1907	4	6.97
1907	5	6.99
1907	6	7.036
1907	7	6.919
1907	8	6.999
1907	9	6.913
1907	10	6.966
1907	11	6.912
1907	12	6.979
1908	1	6.991
1908	2	6.92
1908	3	6.87
1908	4	6.872
1908	5	6.993
1908	6	6.936
1908	7	6.925
1908	8	6.966
1908	9	6.949
1908	10	6.905
1908	11	6.988
1908	12	6.951
1909	1	6.976
1909	2	6.914
1909	3	6.989
1909	4	7.016
1909	5	6.947
1909	6	6.908
1909	7	7.019
1909	8	6.978
1909	9	6.849
1909	10	7.039
1909	11	6.942
1909	12	6.982
1910	1	7.043
1910	2	7.067
1910	3	6.918
1910	4	6.979
1910	5	6.984
1910	6	6.969
1910	7	6.964
1910	8	6.957
1910	9	6.867
1910	10	6.856
1910	11	6.951
1910	12	7.012
1911	1	6.869
1911	2	7
1911	3	6.912
1911	4	7.009
1911	5	6.993
1911	6	6.981
1911	7	6.943
1911	8	6.978
1911	9	6.986
1911	10	6.887
1911	11	6.997
1911	12	7.061
1912	1	6.985
1912	2	7.131
1912	3	7.107
1912	4	6.93
1912	5	7.027
1912	6	7.051
1912	7	6.958
1912	8	7.027
